번호,제목,저자,출판사,출판일
26,Intuitive Navigation in Virtual Environments,"Steiner, M.; Reiter, P.; Ofenbock, C.; Settgast, V.; Ullrich, T.; Lancelle, M.; Fellner, D.W.",Aire-la-Ville; Eurographics Association,2008
27,Research and education activities on disability and disabled people at the Virtual University in Nordic countries,"Teittinen, A.;Vaatainen, M.",University of Reading,2000
28,WINVR09-723 Virtual Bloxing: Assembly Rapid Prototyping of Near Net Shapes,"Lim, T.; Medellin, H.; Sung, R.; Ritchie, J.; Corney, J.","New York, N.Y.; American Society of Mechanical Engineers",2009
29,Usability Evaluation in Virtual Reality: A User Study Comparing Three Different Setups,"Santos, B.S.; Dias, P.; Silva, S.; Capucho, L.; Salgado, N.; Lino, F.; Carvalho, V.; Ferreira, C.",Aire-la-Ville; Eurographics Association,2008
30,An Approach to Interaction Interoperability for Distributed Virtual Environments,"Ahmed, H.M.; Gracanin, D.; Abdel-Hamid, A.; Matkovic, K.",Aire-la-Ville; Eurographics Association,2008
31,Supervision of 3D Multimodal Rendering for Protein-protein Virtual Docking,"Bouyer, G.; Bourdot, P.",Aire-la-Ville; Eurographics Association,2008
32,Transfer of training from virtual to real environments,"Rose, F. D.;Attree, E. A.;Brooks, B. M.;Parslow, D. M.;Penn, P. R.;Ambihaipahan, N.",University of Reading,1998
33,Integrating Particle Dispersion Models into Real-time Virtual Environments,"Willemsen, P.; Norgren, A.; Singh, B.; Pardyjak, E.R.",Aire-la-Ville; Eurographics Association,2008
34,Effects of Platform (Immersive versus Non-immersive) on Usability and Enjoyment of a Virtual Learning Environment for Deaf and Hearing Children,"Adamo-Villani, N.; Wilbur, R.B.",Aire-la-Ville; Eurographics Association,2008
35,Access to virtual learning environments for people with learning difficulties,"Lannen, T.;Brown, D.;Powell, H.",University of Reading,2000
36,WINVR2010-3771 A Modular Implementation of Wii Remote Head Tracking for Virtual Reality,"Pavlik, R.A.; Vance, J.M.","New York, N.Y.; American Society of Mechanical Engineers",2010
37,User group involvement in the development of a virtual city,"Meakin, L.;Wilkins, L.;Gent, C.;Brown, S.;Moreledge, D.;Gretton, C.;Carlisle, M.;McClean, C.;Scott, J.;Constance, J.",University of Reading,1998
38,WINVR2010-3735 GIS-Based Virtual Testbeds and Their Application to Forestry and City Simulation,"Rossmann, J.; Schluse, M.; Hoppen, M.; Waspe, R.","New York, N.Y.; American Society of Mechanical Engineers",2010
39,The development of the Virtual City: A user centred approach,"Brown, D. J.;Kerr, S. J.;Bayon, V.",University of Reading,1998
40,WINVR2010-3739 Enabling a High Fidelity Dynamics Simulation of CAD Assemblies in a Virtual Environment for Machine Design,"Yue, C.; Su, H.-J.; Alvarez, J.C.; Ge, Q.J.","New York, N.Y.; American Society of Mechanical Engineers",2010
41,WINVR2010-3742 A Benchmarking Method to Investigate Co-Design Virtual Environments for Enhancing Industrial Collaboration,"Germani, M.; Mengoni, M.; Peruzzini, M.","New York, N.Y.; American Society of Mechanical Engineers",2010
42,WINVR2010-3756 A Theoretical Framework for Generating Copious Multi-Sensory Feedback From Virtual Buttons,"Faeth, A.J.; Harding, C.","New York, N.Y.; American Society of Mechanical Engineers",2010
43,SpaceFusion: A Multi-Server Architecture For Shared Virtual Environments,"Sugano, H.; Otani, K.; Ueda, H.; Hiraiwa, S.",ACM,1997
44,WINVR2010-3757 Virtual Reality Development for Engineering Applications,"Chen, G.; Moreland, J.; Ratko, D.; Jin, L.; Shen, H.; Wu, B.; Zhou, C.Q.","New York, N.Y.; American Society of Mechanical Engineers",2010
45,WINVR2010-3770 Development of Web-Based Virtual CNC Milling Machine Tool With Mechanistic Cutting Force Models for Education and Learning,"Okafor, A.C.; Talekar, V.R.; Irigireddy, V.; Gulati, R.","New York, N.Y.; American Society of Mechanical Engineers",2010
46,WINVR2010-3725 Automated Design Knowledge Capture Using Virtual Reality,"Sung, R.C.W.; Ritchie, J.M.; Robinson, G.; Day, P.","New York, N.Y.; American Society of Mechanical Engineers",2010
47,WINVR2010-3729 Integrating Digital Human Modeling Into Virtual Environment for Ergonomic Oriented Design,"Ma, L.; Chablat, D.; Bennis, F.; Hu, B.; Zhang, W.","New York, N.Y.; American Society of Mechanical Engineers",2010
48,WINVR2010-3765 Assessment of Pointshell Shrinking and Feature Size on Virtual Manual Assembly,"Faas, D.; Vance, J.M.","New York, N.Y.; American Society of Mechanical Engineers",2010
49,WINVR2010-3703 Characterization of Nintendo Wii Remote for 3D Tracking in Virtual Reality,"Kryger, G.; Gurocak, H.","New York, N.Y.; American Society of Mechanical Engineers",2010
50,WINVR2010-3761 Human Brain Diffusion Tensor Imaging Visualization With Virtual Reality,"Chen, B.; Moreland, J.","New York, N.Y.; American Society of Mechanical Engineers",2010
51,WINVR2010-3710 Interface Modes for Interactive Visualization of Airborne Product Virtual Models,"Opiyo, E.Z.","New York, N.Y.; American Society of Mechanical Engineers",2010
52,"QOTA: A Fast, Multi-Purpose Algorithm For Terrain Following in Virtual Environments","Barrus, J. W.; Waters, R. C.",ACM,1997
53,WINVR2010-3719 Developing Virtual Testbeds for Tasks in Research and Engineering,"Rossmann, J.; Jung, T.J.; Rast, M.","New York, N.Y.; American Society of Mechanical Engineers",2010
54,Implementing Multi-user Virtual Worlds: Ideologies and Issues (Extended Panel Statement),"Greenhalgh, C.",ACM,2000
55,Cross-Architectural Performance Portability of a Java Virtual Machine Implementation,"Jacob, M.;Randall, K.",USENIX,2002
56,sEc: A Portable Interpreter Optimizing Technique for Embedded Java Virtual Machine,"Venugopal, K. S.;Manjunath, G.;Krishnan, V.",USENIX,2002
57,A Lightweight Java Virtual Machine for a Stack-Based Microprocessor,"Raner, M.",USENIX,2002
58,3D Product Presentation Online: The Virtual Design Exhibition,"Dauner, J.; Landauer, J.; Stimpfig, E.; Reuter, D.",ACM,1998
59,WINVR2010-3721 Keyframe-Based Scenegraph Animation API for Virtual Reality Applications,"Noon, C.; Newendorp, B.; Winer, E.; Oliver, J.","New York, N.Y.; American Society of Mechanical Engineers",2010
60,DWTP - An Internet Protocol For Shared Virtual Environments,"Broll, W.",ACM,1998
61,The Virtual Reality Behavior System (VRBS): Using Perl as a Behavior Language for VRML,"Moreland, J. L.; Nadeau, D. R.",ACM,1995
62,The Virtual Reality Behavior System (VRBS): A Behavior Protocol for VRML,"Nadeau, D. R.; Moreland, J. L.",ACM,1995
63,Distributed Virtual Reality - An Overview,"Roehl, B.",ACM,1995
64,Smart Virtual Prototypes: Distributed 3D Product Simulations for Web Based Environments,"Salmela, M.; Kyllonen, H.",ACM,2000
65,WINVR2010-3707 Haptic Assembly of CAD Models Using Virtual Constraint Guidance,"Tching, L.; Dumont, G.; Perret, J.","New York, N.Y.; American Society of Mechanical Engineers",2010
66,Internetwork Infrastructure Requirements for Virtual Environments,"Brutzman, D.; Macedonia, M.; Zyda, M.",ACM,1995
67,WINVR2010-3724 A Novel Haptic Rendering Algorithm for Stable and Precise 6-DOF Virtual Assembly,"Liu, M.; Wang, D.; Zhang, Y.","New York, N.Y.; American Society of Mechanical Engineers",2010
68,WINVR2010-3736 An Approach for Measuring the Human Gesture Learning Ability in Third-Person View Virtual Environment for Motor Rehabilitation,"Nguyen, V.H.; Merienne, F.; Martinez, J.-L.; Pozzo, T.","New York, N.Y.; American Society of Mechanical Engineers",2010
69,WINVR2010-3750 Using 3D Sound for Providing 3D Interaction in Virtual Environment,"Ortega-Gonzalez, V.; Garbaya, S.; Merienne, F.","New York, N.Y.; American Society of Mechanical Engineers",2010
70,Representing Virtual Places - A Design Model for Metaphorical Design,"Li, F.; Maher, M.L.",United States?; Association for Computer-Aided Design in Architecture,2009
71,WINVR2010-3743 Multimodal Navigation for a Haptic-Based Virtual Assembly Application,"Belluco, P.; Bordegoni, M.; Polistina, S.","New York, N.Y.; American Society of Mechanical Engineers",2010
72,WINVR09-725 Affordable Interaction Systems for Design Review on a Virtual Room,"Pignatel, A.; Brevi, F.","New York, N.Y.; American Society of Mechanical Engineers",2009
73,The Virtual Shipyard: A Simulation Model of the Shipbuilding Process,"Alfeld, L. E.; Nesci, F. M.; Sholtes, R. M.",The Society,1996
74,WINVR09-732 Virtual Reality Interface Design for Multi-Modal Teleoperation,"Kadavasal, M.S.; Oliver, J.H.","New York, N.Y.; American Society of Mechanical Engineers",2009
75,A virtual endoscopy system for virtual medicine,"Peng, Y.; Jia, R.; Wang, Y.; Zhang, M.","John Wiley & Sons, Ltd",2011
76,WINVR09-701 Virtual Prototyping by Using Holographic Displays: But What About Large Data Problems?,"Opiyo, E.Z.; Horvath, I.; Kooijman, A.","New York, N.Y.; American Society of Mechanical Engineers",2009
77,A Virtual Reality Tool to Implement City Building Codes on Capitol View Preservation,"Chan, C.-S.",United States?; Association for Computer-Aided Design in Architecture,2009
78,Neural-network virtual reality mobility aid for the severely visually impaired,"Everingham, M. R.;Thomas, B. T.;Troscianko, T.;Easty, D.",University of Reading,1998
79,Development and evaluation of a virtual reality based training system for disabled children,"Desbonnet, M.;Cox, S. L.;Rahman, A.",University of Reading,1998
80,Interaction and Behavior Support for Multi-User Virtual Environments,"Broll, W.",unknown,1995
81,Research in the area of Simulation and Interaction in Virtual Environments,"Ohlund, K.",unknown,1995
82,Simulating Dynamic Effects to Building Structures in Virtual Environments,"Lisle, C.; Kilby, M.; Ortiz, J.; Russell, D.",unknown,1995
83,Mobile Hybrid Virtual Reality and Telepresence for Planning and Monitoring of Engineering Projects,"Retik, A.; Clark, N.; Fryer, R.; Heiman, R.",Brunel University,1997
84,Research in Implementing a Virtual Environment for Engineering Design,"Vance, J.",unknown,1995
85,Interaction with virtual crowd in immersive and semi‐immersive virtual reality systems,"Kyriakou, Marios; Pan, Xueni; Chrysanthou, Yiorgos","John Wiley & Sons, Ltd",2017
86,"A Real-time, Predictive Architecture for Distributed Virtual Reality","Roberts, D.; Sharkey, P.; Sandoz, P.",unknown,1995
87,Soldier Agents in a Virtual Urban Battlefield,"Reece, D.",unknown,1995
88,Contact Analysis in a Virtual Environment,"Perry, J.; Henning, P.; Cremer, J.; Vanecek, G.",unknown,1995
89,Alternative Archaeological Representations within Virtual Worlds,"Roberts, J. C.; Ryan, N.",Brunel University,1997
90,Towards a Unified Physical Model for Virtual Environments,"Chapman, P.; Wills, D. P. M.",Brunel University,1997
91,Introduction to VC97 Papers: Understanding Virtual Communities,"Cicognani, A.",IPI Press,1997
92,A Hybrid Virtual Environmental Interface to Electronic Warfare Information,"Darken, R. P.; Hill, T. A.; Solan, B. T.; Brookes, C. B.",The Society,1996
93,Human factors Related to Virtual Reality Surgical Simulator: The Sheffield Knee Arthroscopy Training System,"McArthy, A. D.; Hollands, R. J.",Brunel University,1997
94,Distance Estimation Minimal Virtual Environments,"Turner, P.; Turner, S.",Brunel University,1997
95,Designing Space in Virtual Environments for Aiding Wayfinding Behaviour,"Charitos, D.",Brunel University,1997
96,Integrating High Performance Computing And Communications with Virtual Reality For Interactive Molecular Modeling: The VIBE System,"Cruz-Neira, C.; Bash, P.",unknown,1995
97,Real-time Upper Body Articulation of Humans in a Networked Interactive Virtual Environment,"Waldrop, M.; Pratt, S.; Pratt, D.; McGhee, R.",unknown,1995
98,The VOID Shell: A Toolkit for The Development of Distributed Video Games and Virtual Worlds,"O'Connell, K.; Cahill, V.; Condon, A.; McGerty, S.",unknown,1995
99,Constructing and Managing Complex Virtual Worlds for Manufacturing Applications,"Zhao, Z.",Brunel University,1997
100,When Four Dimensions are Not Enough: Addressing the Human Experience of Space and Time Using Virtual Worlds,"Jacobson, R.",DCEA,1995
1,Realtime and Realism with the Use of Large DataBase in Virtual Reality Application,"Delpy, T.;Lapierre, M.",DCEA,1995
2,Utilising Human Audio Visual Response for Lip Synchronisation in Virtual Environments,"Parker, L.; Jack, M. A.",Brunel University,1997
3,Methodology for Distributed Usability Evaluation in Collaborative Virtual Environments,"Tromp, J.",Brunel University,1997
4,Group Management and Quality of Service Adaptation in Distributed Virtual Environments,"Pryce, N.",Brunel University,1997
5,VEVI: A Virtual Reality Tool For Robotic Planetary Explorations,"Piguet, L.; Fong, T.; Hine, B.; Hontalas, P.",unknown,1995
6,Engaging global virtual teams: a theoretical framework proposal on employee engagement predictors in global virtual settings,"Toro, Marc Martí; Elguezabal, Ibon Zamanillo; Anacabe, Gaizka Garechana",unknown,2020
7,Dynamic Simulation of Natural Environments in Virtual Reality,"Setas, M.; Gomes, M.; Rebordao, J.",unknown,1995
8,VR/IS Lab Virtual Actor Research Overview,"Shawver, D.; Stansfield, S.",unknown,1995
9,Haptic Interfaces for Teleoperation and Virtual Environments,"Hollerbach, J.; Jacobsen, S.",unknown,1995
10,Behavior Simulation Requirements for Real-Time Virtual Environments,"Doenges, P.",unknown,1995
11,Interactive Simulation of Physical Systems in Virtual Environments,"Pai, D.; Siira, J.; Van den Doel, K.",unknown,1995
12,Realistic Driving Simulations in Virtual Urban Environments for the Praxitele Project,"Donikian, S.",unknown,1995
13,Problems in Designing Large-Scale Virtual Environment Databases,"Deyo, R.; Isaacson, P.",unknown,1995
14,Knowledge-Based Techniques in the Generation of Virtual Environments,"McNeill, M.; Lambourn, S.; Lister, P.; Grimsdale, R.",unknown,1995
15,Knowledge exchange in a virtual team - exploring the relationship between virtual communication and social capital generation,"Assudani, R.H.",INDERSCIENCE,2007
16,"Immersive walking in a virtual crowd: The effects of the density, speed, and direction of a virtual crowd on human movement behavior","Koilias, Alexandros; Nelson, Michael G.; Anagnostopoulos, Christos‐Nikolaos; Mousas, Christos","John Wiley & Sons, Ltd",2020
17,"Anticipatory behavior in virtual universe, application to a virtual juggler","Buche, C.; De Loor, P.","John Wiley & Sons, Ltd",2013
18,Experts' review of a virtual environment for virtual clinical simulation in South Africa,"Botha, Benjamin S.; Wet, Lizette; Botma, Yvonne","John Wiley & Sons, Ltd",2021
19,Exercising Collaborative Design in a Virtual Environment,"Peri, C.",United States?; Association for Computer-Aided Design in Architecture,2009
20,"U.S. Navy Fork Lift Mast System: Virtual Prototype and Validation- A ""Smart"" Development Approach","Tursi, R.; Bissoon-Dath, N.; Janeric, J.",The Society,1996
21,Synagogue Neudeggergasse: A Virtual Reconstruction in Vienna,"Martens, B.; Uhl, M.; Tschuppik, W.-M.; Voigt, A.",United States?; Association for Computer-Aided Design in Architecture,2009
22,Testing the Space of the Virtual,"Lonsway, B.",United States?; Association for Computer-Aided Design in Architecture,2009
23,"Architecture, Speed, and Relativity: On the Ethics of Eternity, Infinity, and Virtuality","Senagala, M.",United States?; Association for Computer-Aided Design in Architecture,2009
24,A Simulation Based Test Bed for Virtual Prototyping,"Farsaie, A.; Elkins, L.; Ng, H.; Vallo, A.",The Society,1996
25,Toward understanding embodied human‐virtual character interaction through virtual and tactile hugging,"Cui, Dixuan; Kao, Dominic; Mousas, Christos","John Wiley & Sons, Ltd",2021
26,LOTS Simulation and Visualization via the Virtual Environment and Systems Simulation Laboratory (Abstract),"Costello, J.; Harder, E.",The Society,1996
27,Command and Control (C&C) Arrangement Drawing Virtual Prototyping using 3-D CAD Model Design Review (Abstract),"Douglas, B.; Mathis, D.",The Society,1996
28,"U.S. Navy Fork Lift Mast System: Virtual Prototype and Validation- A ""Smart"" Development Approach (Abstract)","Tursi, R.; Janevic, J.",The Society,1996
29,How can the coordination of the processes be achieved in virtual teams?: Implications for virtual organisations,"Demirel, Demokaan",unknown,2020
30,Auditory and visual 3D virtual reality therapy for chronic subjective tinnitus: theoretical framework,"Londero, A.; Viaud-Delmon, I.; Baskind, A.; Delerue, O.; Bertet, S. p.; Bonfils, P.; Warusfel, O.",Springer Science + Business Media,2010
31,Virtual business process management within collaborative manufacturing network: an implementation case,"Shamsuzzoha, A.; Helo, P.T.",unknown,2014
32,Guest editors’ foreword to the special issue on Virtual Reality in Scientific Application,"Gervasi, O.; Ranon, R.",Springer Science + Business Media,2009
33,Leveraging advertising to a higher dimension: experimental research on the impact of virtual reality on brand personality impressions,"De Gauquier, Laurens; Brengman, Malaika; Willems, Kim; Van Kerrebroeck, Helena",Springer Nature,2018
34,The contribution of virtual reality to research on sensory feedback in remote control,"Richardson, B.; Symmons, M.; Wuillemin, D.",Springer Science + Business Media,2006
35,"On money, taxes, and property in virtual reality","Barfield, W.",Springer Science + Business Media,2009
36,Performance evaluation of compromised synchronization control mechanism for distributed virtual environment (DVE),"Wongwirat, O.; Ohara, S.",Springer Science + Business Media,2005
37,Virtual humans elicit socially anxious interactants verbal self-disclosure,"Kang, S. H.; Gratch, J.","John Wiley & Sons, Ltd",2010
38,A multi-user desktop virtual environment for teaching shop-keeping to children,"Slator, B. M.; Chaput, H.; Cosmano, R.; Dischinger, B.; Imdieke, C.; Vender, B.",Springer Science + Business Media,2005
39,Phenomenal regression to the real object in physical and virtual worlds,"Elner, K. W.; Wright, H.",Springer Science + Business Media,2015
40,DSCVR: designing a commodity hybrid virtual reality system,"Ponto, K.; Kohlmann, J.; Tredinnick, R.",Springer Science + Business Media,2015
41,Development of a virtual butterfly ecological system based on augmented reality and mobile learning technologies,"Tarng, W.; Ou, K. L.; Yu, C. S.; Liou, F. L.; Liou, H. H.",Springer Science + Business Media,2015
42,Development of an educational virtual transmission electron microscope laboratory,"Tarng, W.; Tsai, C. F.; Lin, C. M.; Lee, C. Y.; Liou, H. H.",Springer Science + Business Media,2015
43,Simulator sickness incidence and susceptibility during neck motion-controlled virtual reality tasks,"Treleaven, J.; Battershill, J.; Cole, D.; Fadelli, C.; Freestone, S.; Lang, K.; Sarig-Bahat, H.",Springer Science + Business Media,2015
44,Sound localization on a horizontal surface: virtual and real sound source localization,"Lam, J.; Kapralos, B.; Kanev, K.; Collins, K.; Hogue, A.; Jenkin, M.",Springer Science + Business Media,2015
45,Creation and calibration method of acoustical models for historic virtual reality auralizations,"Postma, B. N.; Katz, B. F.",Springer Science + Business Media,2015
46,Sounding fire for immersive virtual reality,"Liu, S.; Yu, Z.",Springer Science + Business Media,2015
47,Using a virtual environment to assess cognition in the elderly,"Lesk, V. E.; Wan Shamsuddin, S. N.; Walters, E. R.; Ugail, H.",Springer Science + Business Media,2014
48,On the validity of virtual reality-based auditory experiments: a case study about ratings of the overall listening experience,"Schoeffler, M.; Gernert, J. L.; Neumayer, M.; Westphal, S.; Herre, J. r.",Springer Science + Business Media,2015
49,A cross-cultural comparison of salient perceptual characteristics of height channels for a virtual auditory environment,"Kim, S.; King, R.; Kamekawa, T.",Springer Science + Business Media,2015
50,Designing presence for real locomotion in immersive virtual environments: an affordance-based experiential approach,"Turchet, L.",Springer Science + Business Media,2015
51,Erratum to: Using immersive virtual reality and anatomically correct computer-generated characters in the forensic assessment of deviant sexual preferences,"Trottier, D.; Renaud, P.; Rouleau, J. L.; Goyette, M.; Saumur, C.; Boukhalfi, T.; Bouchard, S. p.",Springer Science + Business Media,2015
52,Virtual proximity and facial expressions of computer agents regulate human emotions and attention,"Vanhala, T.; Surakka, V.; Siirtola, H.; Raiha, K. J.; Morel, B.; Ach, L.","John Wiley & Sons, Ltd",2010
53,Virtual prototyping to design better corporate buildings,"Mobach, M.",Taylor & Francis,2010
54,Perceiving interpersonally-mediated risk in virtual environments,"Portnoy, D. B.; Smoak, N. D.; Marsh, K. L.",Springer Science + Business Media,2010
55,Subjective visual vertical in virtual reality (Curator SVV): validation and normative data,"Chiarovano, Elodie; McGarvie, Leigh A.; Szmulewicz, David; MacDougall, Hamish G.",Springer Nature,2018
56,Model structuring for virtual prototype re-design,"Sghaier, A.; Ladeveze, N.; Fourquet, J. Y.",Taylor & Francis,2010
57,Patient specific parametric geometric modelling and finite element analysis of cementless hip prosthesis This paper proposes a framework for subject-specific cementless hip implant design and virtual assembly analysis of the instantiated stem with femur model using finite element method,"George, S.P.; Kumar, G.S.",Taylor & Francis,2013
58,Virtual private networks: a model for assessing alternatives,"Yen, D.; Havelka, D.; Chou, D. C.",INDERSCIENCE,2002
59,Virtual worlds in higher education: a policy simulation,"Garcia-Murillo, M.; MacInnes, I.; Rubleske, J.",INDERSCIENCE,2010
60,Untethered gesture acquisition and recognition for virtual world manipulation,"Demirdjian, D.; Ko, T.; Darrell, T.",Springer Science + Business Media,2005
61,Wearable vibrotactile systems for virtual contact and information display,"Lindeman, R. W.; Yanagida, Y.; Noma, H.; Hosaka, K.",Springer Science + Business Media,2006
62,Virtual humans with personalized perception and dynamic levels of knowledge,"Strassner, J.; Langer, M.",Wiley,2005
63,Efficient virtual reality design of quiet underwater shells,"Akl, W.; Baz, A.",Springer Science + Business Media,2005
64,The effect of virtual covert sensitization on reducing alcohol craving in heavy social drinkers,"Choi, Y. J.; Lee, J. H.",Springer Science + Business Media,2015
65,A feasible group testing framework for producing usable virtual reality learning applications,"Chen, C. J.; Lau, S. Y.; Teh, C. S.",Springer Science + Business Media,2015
66,Posttraumatic stress disorder: possibilities for olfaction and virtual reality exposure therapy,"Aiken, M. P.; Berry, M. J.",Springer Science + Business Media,2015
67,Virtual reality 360 interactive panorama reproduction obstacles and issues,"See, Z. S.; Cheok, A. D.",Springer Science + Business Media,2015
68,Communication in a networked haptic virtual environment for temporal bone surgery training,"Hutchins, M. A.; Stevenson, D. R.; Gunn, C.; Krumpholz, A.; Adriaansen, T.; Pyman, B.; O’Leary, S.",Springer Science + Business Media,2006
69,Effects of perspective elevation and environmental geometry on representation of a virtual room space,"Luo, Z.; Duh, H. B.",Springer Science + Business Media,2009
70,Locating virtual sound sources at arbitrary distances in real-time binaural reproduction,"Villegas, J. n.",Springer Science + Business Media,2015
71,Computer-based virtual reality simulator for phacoemulsification cataract surgery training,"Lam, C. K.; Sundaraj, K.; Sulaiman, M. N.",Springer Science + Business Media,2014
72,Interactive 3-D indoor modeler for virtualizing service fields,"Ishikawa, T.; Thangamani, K.; Kourogi, M.; Gee, A. P.; Mayol-Cuevas, W.; Hyun, J.; Kurata, T.",Springer Science + Business Media,2013
73,Natural and hybrid bimanual interaction for virtual assembly tasks,"Vélaz, Y.; Lozano-Rodero, A.; Suescun, A.; Gutiérrez, T.",Springer Science + Business Media,2014
74,A framework to design 3D interaction assistance in constraints-based virtual environments,"Essabbah, M.; Bouyer, G.; Otmane, S.; Mallem, M.",Springer Science + Business Media,2014
75,Surface forming and virtual model of simulation based on IGES,"He, G.; Zheng, H.; Wang, J.; Liu, J.",Taylor & Francis,2009
76,Virtual speaker tracking by camera using a sound source localisation with two microphones,"Sayoud, H.; Khennouf, S.; Ouamour, S.",INDERSCIENCE,2013
77,When brands come to life: experimental research on the vividness effect of Virtual Reality in transformational marketing communications,"Kerrebroeck, H.; Brengman, M.; Willems, K.",Springer Science + Business Media,2017
78,Virtual reality design techniques for web-based historical reconstructions,"Badni, K.",Springer Science + Business Media,2006
79,Virtual investigation of pulmonary airways in volumetric computed tomography,"Perchet, D.; Fetita, C. I.; Vial, L.; Preteux, F.; Caillibotte, G.; Sbirlea-Apiou, G.; Thiriet, M.",Wiley,2004
80,Medical imaging and virtual reality: a personal perspective,"Robb, R. A.",Springer Science + Business Media,2008
81,User experimentation: an evaluation of velocity control techniques in immersive virtual environments,"Jeong, D. H.; Song, C. G.; Chang, R.; Hodges, L.",Springer Science + Business Media,2009
82,"The Virtual Scylla: an exploration of “serious games�?, artificial life and simulation complexity","Stone, R.; White, D.; Guest, R.; Francis, B.",Springer Science + Business Media,2009
83,Serious games: virtual reality’s second coming?,"Stone, R.",Springer Science + Business Media,2009
84,Toward the development of interactive virtual dissection with haptic feedback,"Vafai, N. M.; Payandeh, S.",Springer Science + Business Media,2010
85,A comparative evaluation of viewing metaphors on psychophysical skills education in an interactive virtual environment,"Parmar, D.; Bertrand, J.; Babu, S. V.; Madathil, K.; Zelaya, M.; Wang, T.; Wagner, J.; Gramopadhye, A. K.; Frady, K.",Springer Science + Business Media,2016
86,A self-calibrating robot based upon a virtual machine model of parallel kinematics,"Pedersen, David Bue; Eiríksson, Eyþór Rúnar; Hansen, Hans Nørgaard; Nielsen, Jakob Skov",Taylor & Francis,2016
87,"Special issue on spatial sound in virtual, augmented, and mixed-reality environments","Cohen, M.; Villegas, J. n.; Barfield, W.",Springer Science + Business Media,2015
88,Flexible touch sensor for evaluating geometric properties of virtual shapes through sound,"Covarrubias, Mario; Mansutti, Alessandro; Bordegoni, Monica; Cugini, Umberto",Taylor & Francis,2015
89,Fatigue evaluation in maintenance and assembly operations by digital human simulation in virtual environment,"Ma, L.; Chablat, D.; Bennis, F.; Zhang, W.; Hu, B.; Guillaume, F. o.",Springer Science + Business Media,2011
90,Virtual reality training system for maintenance and operation of high-voltage overhead power lines,"Ayala García, A. s.; Galván Bobadilla, I.; Arroyo Figueroa, G.; Pérez Ramírez, M.; Muñoz Román, J.",Springer Science + Business Media,2016
91,Activities of daily living assessment in spinal cord injury using the virtual reality system Toyra®: functional and kinematic correlations,"Dimbwadyo-Terrer, I.; Trincado-Alonso, F.; De los Reyes-Guzmán, A.; López-Monteagudo, P.; Polonio-López, B.; Gil-Agudo, A.",Springer Science + Business Media,2016
92,Afforded actions as a behavioral assessment of physical presence in virtual environments,"Lepecq, J. C.; Bringoux, L.; Pergandi, J. M.; Coyle, T.; Mestre, D.",Springer Science + Business Media,2009
93,"Mediated presence: virtual reality, mixed environments and social networks","Spagnolli, A.; Lombard, M.; Gamberini, L.",Springer Science + Business Media,2009
94,Attachment and sense of presence in a virtual environment,"Wallach, H. S.; Safir, M. P.; Almog, I.",Springer Science + Business Media,2009
95,Effectiveness of a multidevice 3D virtual environment application to train car service maintenance procedures,"Borsci, S.; Lawson, G.; Jha, B.; Burges, M.; Salanitri, D.",Springer Science + Business Media,2016
96,A cost-effective interactive 3D virtual reality system applied to military live firing training,"Bhagat, K. K.; Liou, W. K.; Chang, C. Y.",Springer Science + Business Media,2016
97,Evolution of music performance anxiety and quality of performance during virtual reality exposure training,"Bissonnette, J.; Dubé, F.; Provencher, M. D.; Moreno Sala, M. T.",Springer Science + Business Media,2016
98,A self-configurable large-scale virtual manufacturing environment for collaborative designers,"Lee, H.; Banerjee, A.",Springer Science + Business Media,2011
99,On study of design and implementation of virtual fixtures,"Prada, R.; Payandeh, S.",Springer Science + Business Media,2009
100,Haptics-based virtual reality periodontal training simulator,"Luciano, C.; Banerjee, P.; DeFanti, T.",Springer Science + Business Media,2009
1,Using immersive game-based virtual reality to teach fire-safety skills to children,"Smith, S.; Ericson, E.",Springer Science + Business Media,2009
2,Physics-based virtual reality for task learning and intelligent disassembly planning,"Aleotti, J.; Caselli, S.",Springer Science + Business Media,2011
3,Virtual reality for assembly methods prototyping: a review,"Seth, A.; Vance, J. M.; Oliver, J. H.",Springer Science + Business Media,2011
4,Modeling and real-time simulation architectures for virtual prototyping of off-road vehicles,"Karkee, M.; Steward, B. L.; Kelkar, A. G.; Kemp, Z. T.",Springer Science + Business Media,2011
5,Multidisciplinary design process based on virtual prototyping for microsystem design,"Briand, R.; Fischer, X.; Arrijuria, O.; Terrasson, G.",Taylor & Francis,2010
6,Individual differences in virtual reality: Are spatial presence and spatial ability linked?,"Coxon, M.; Kelly, N.; Page, S.",Springer Science + Business Media,2016
7,The right of publicity in virtual reality,"Barfield, W.",Springer Science + Business Media,2007
8,The influence of the availability of visual cues on the accurate perception of spatial dimensions in architectural virtual environments,"Loyola, Mauricio",Springer Nature,2017
9,Self-reported discomfort when using commercially targeted virtual reality equipment in discomfort distraction,"Boylan, Patrick; Kirwan, Grainne H.; Rooney, Brendan",Springer Nature,2017
10,Semantic framework for interactive animation generation and its application in virtual shadow play performance,"Liang, Hui; Deng, Shujie; Chang, Jian; Zhang, Jian Jun; Chen, Can; Tong, Ruofeng",Springer Nature,2018
11,Editorial for special issue on interactive virtual environments for serious games,"Liarokapis, Fotis; Evans, Alun",Springer Nature,2018
12,Increasing student engagement through virtual interactions: How?,"Christopoulos, Athanasios; Conrad, Marc; Shukla, Mitul",Springer Nature,2018
